country,year,eu_sanctions_any,us_sanctions_any,un_sanctions_any,multilateral_sanctions_any,eu_economic_sanctions,us_economic_sanctions,un_economic_sanctions,sanctions_intensity_score
Bolivia,2012,0,1,0,0,0,0,0,12.0
Bolivia,2013,0,1,0,0,0,0,0,12.0
Bolivia,2014,0,1,0,0,0,0,0,12.0
Bolivia,2015,0,1,0,0,0,0,0,12.0
Brazil,1989,0,0,0,0,0,0,0,0.0
Brazil,1990,0,0,0,0,0,0,0,0.0
Brazil,1991,0,0,0,0,0,0,0,0.0
Brazil,1992,0,0,0,0,0,0,0,0.0
Brazil,1993,0,0,0,0,0,0,0,0.0
Brazil,1994,0,0,0,0,0,0,0,0.0
Brazil,1995,0,0,0,0,0,0,0,0.0
Brazil,1996,0,0,0,0,0,0,0,0.0
Brazil,1997,0,0,0,0,0,0,0,0.0
Brazil,1998,0,0,0,0,0,0,0,0.0
Brazil,1999,0,0,0,0,0,0,0,0.0
Brazil,2000,0,0,0,0,0,0,0,0.0
Brazil,2001,0,0,0,0,0,0,0,0.0
Brazil,2002,0,1,0,0,0,0,0,12.0
Brazil,2003,0,1,0,0,0,0,0,12.0
Brazil,2004,0,1,0,0,0,0,0,12.0
Brazil,2005,0,1,0,0,0,0,0,12.0
Brazil,2006,0,1,0,0,0,0,0,12.0
Brazil,2007,0,1,0,0,0,0,0,12.0
Brazil,2008,0,1,0,0,0,0,0,12.0
Brazil,2009,0,1,0,0,0,0,0,12.0
Brazil,2010,0,0,0,0,0,0,0,0.0
Brazil,2011,0,0,0,0,0,0,0,0.0
Brazil,2012,0,0,0,0,0,0,0,0.0
Brazil,2013,0,0,0,0,0,0,0,0.0
Brazil,2014,0,0,0,0,0,0,0,0.0
Brazil,2015,0,0,0,0,0,0,0,0.0
Chile,1989,0,1,0,0,0,0,0,12.0
Chile,1990,0,1,0,0,0,0,0,12.0
Chile,1991,0,0,0,0,0,0,0,0.0
Chile,1992,0,0,0,0,0,0,0,0.0
Chile,1993,0,0,0,0,0,0,0,0.0
Chile,1994,0,0,0,0,0,0,0,0.0
Chile,1995,0,0,0,0,0,0,0,0.0
Chile,1996,0,0,0,0,0,0,0,0.0
Chile,1997,0,0,0,0,0,0,0,0.0
Chile,1998,0,0,0,0,0,0,0,0.0
Chile,1999,0,0,0,0,0,0,0,0.0
Chile,2000,0,0,0,0,0,0,0,0.0
Chile,2001,0,0,0,0,0,0,0,0.0
Chile,2002,0,0,0,0,0,0,0,0.0
Chile,2003,0,0,0,0,0,0,0,0.0
Chile,2004,0,0,0,0,0,0,0,0.0
Chile,2005,0,0,0,0,0,0,0,0.0
Chile,2006,0,0,0,0,0,0,0,0.0
Chile,2007,0,0,0,0,0,0,0,0.0
Chile,2008,0,0,0,0,0,0,0,0.0
Chile,2009,0,0,0,0,0,0,0,0.0
Chile,2010,0,0,0,0,0,0,0,0.0
Chile,2011,0,0,0,0,0,0,0,0.0
Chile,2012,0,0,0,0,0,0,0,0.0
Chile,2013,0,0,0,0,0,0,0,0.0
Chile,2014,0,0,0,0,0,0,0,0.0
Chile,2015,0,0,0,0,0,0,0,0.0
Colombia,1989,0,0,0,0,0,0,0,0.0
Colombia,1990,0,0,0,0,0,0,0,0.0
Colombia,1991,0,0,0,0,0,0,0,0.0
Colombia,1992,0,0,0,0,0,0,0,0.0
Colombia,1993,0,0,0,0,0,0,0,0.0
Colombia,1994,0,1,0,0,0,0,0,12.0
Colombia,1995,0,1,0,0,0,0,0,12.0
Colombia,1996,0,1,0,0,0,0,0,12.0
Colombia,1997,0,1,0,0,0,0,0,12.0
Colombia,1998,0,1,0,0,0,0,0,12.0
Colombia,1999,0,1,0,0,0,0,0,12.0
Colombia,2000,0,0,0,0,0,0,0,0.0
Colombia,2001,0,0,0,0,0,0,0,0.0
Colombia,2002,0,1,0,0,0,0,0,12.0
Colombia,2003,0,1,0,0,0,0,0,12.0
Colombia,2004,0,0,0,0,0,0,0,0.0
Colombia,2005,0,0,0,0,0,0,0,0.0
Colombia,2006,0,0,0,0,0,0,0,0.0
Colombia,2007,0,0,0,0,0,0,0,0.0
Colombia,2008,0,0,0,0,0,0,0,0.0
Colombia,2009,0,0,0,0,0,0,0,0.0
Colombia,2010,0,0,0,0,0,0,0,0.0
Colombia,2011,0,0,0,0,0,0,0,0.0
Colombia,2012,0,0,0,0,0,0,0,0.0
Colombia,2013,0,0,0,0,0,0,0,0.0
Colombia,2014,0,0,0,0,0,0,0,0.0
Colombia,2015,0,0,0,0,0,0,0,0.0
Costa Rica,1989,0,0,0,0,0,0,0,0.0
Costa Rica,1990,0,0,0,0,0,0,0,0.0
Costa Rica,1991,0,0,0,0,0,0,0,0.0
Costa Rica,1992,0,0,0,0,0,0,0,0.0
Costa Rica,1993,0,0,0,0,0,0,0,0.0
Costa Rica,1994,0,0,0,0,0,0,0,0.0
Costa Rica,1995,0,0,0,0,0,0,0,0.0
Costa Rica,1996,0,0,0,0,0,0,0,0.0
Costa Rica,1997,0,0,0,0,0,0,0,0.0
Costa Rica,1998,0,0,0,0,0,0,0,0.0
Costa Rica,1999,0,0,0,0,0,0,0,0.0
Costa Rica,2000,0,0,0,0,0,0,0,0.0
Costa Rica,2001,0,1,0,0,0,0,0,12.0
Costa Rica,2002,0,1,0,0,0,0,0,12.0
Costa Rica,2003,0,1,0,0,0,0,0,12.0
Costa Rica,2004,0,1,0,0,0,0,0,12.0
Costa Rica,2005,0,1,0,0,0,0,0,12.0
Costa Rica,2006,0,1,0,0,0,0,0,12.0
Costa Rica,2007,0,1,0,0,0,0,0,12.0
Costa Rica,2008,0,1,0,0,0,0,0,12.0
Costa Rica,2009,0,1,0,0,0,0,0,12.0
Costa Rica,2010,0,0,0,0,0,0,0,0.0
Costa Rica,2011,0,0,0,0,0,0,0,0.0
Costa Rica,2012,0,0,0,0,0,0,0,0.0
Costa Rica,2013,0,0,0,0,0,0,0,0.0
Costa Rica,2014,0,0,0,0,0,0,0,0.0
Costa Rica,2015,0,0,0,0,0,0,0,0.0
Cuba,1989,0,0,0,0,0,0,0,0.0
Cuba,1990,0,0,0,0,0,0,0,0.0
Cuba,1991,0,0,0,0,0,0,0,0.0
Cuba,1992,0,1,0,0,0,1,0,28.0
Cuba,1993,0,1,0,0,0,1,0,28.0
Cuba,1994,0,1,0,0,0,1,0,28.0
Cuba,1995,0,1,0,0,0,1,0,28.0
Cuba,1996,0,1,0,0,0,1,0,28.0
Cuba,1997,0,1,0,0,0,1,0,28.0
Cuba,1998,0,1,0,0,0,1,0,28.0
Cuba,1999,0,1,0,0,0,1,0,28.0
Cuba,2000,0,1,0,0,0,1,0,28.0
Cuba,2001,0,1,0,0,0,1,0,28.0
Cuba,2002,0,1,0,0,0,1,0,28.0
Cuba,2003,1,1,0,0,0,1,0,38.0
Cuba,2004,1,1,0,0,0,1,0,38.0
Cuba,2005,1,1,0,0,0,1,0,38.0
Cuba,2006,0,1,0,0,0,1,0,28.0
Cuba,2007,0,1,0,0,0,1,0,28.0
Cuba,2008,0,1,0,0,0,1,0,28.0
Cuba,2009,0,1,0,0,0,1,0,28.0
Cuba,2010,0,1,0,0,0,1,0,28.0
Cuba,2011,0,1,0,0,0,1,0,28.0
Cuba,2012,0,1,0,0,0,1,0,28.0
Cuba,2013,0,1,0,0,0,1,0,28.0
Cuba,2014,0,1,0,0,0,1,0,28.0
Cuba,2015,0,1,0,0,0,1,0,28.0
Dominican Republic,1989,0,0,0,0,0,0,0,0.0
Dominican Republic,1990,0,0,0,0,0,0,0,0.0
Dominican Republic,1991,0,0,0,0,0,0,0,0.0
Dominican Republic,1992,0,0,0,0,0,0,0,0.0
Dominican Republic,1993,0,0,0,0,0,0,0,0.0
Dominican Republic,1994,0,0,0,0,0,0,0,0.0
Dominican Republic,1995,0,0,0,0,0,0,0,0.0
Dominican Republic,1996,0,0,0,0,0,0,0,0.0
Dominican Republic,1997,0,0,0,0,0,0,0,0.0
Dominican Republic,1998,0,0,0,0,0,0,0,0.0
Dominican Republic,1999,0,0,0,0,0,0,0,0.0
Dominican Republic,2000,0,0,0,0,0,0,0,0.0
Dominican Republic,2001,0,0,0,0,0,0,0,0.0
Dominican Republic,2002,0,0,0,0,0,0,0,0.0
Dominican Republic,2003,0,0,0,0,0,0,0,0.0
Dominican Republic,2004,0,0,0,0,0,0,0,0.0
Dominican Republic,2005,0,0,0,0,0,0,0,0.0
Dominican Republic,2006,0,0,0,0,0,0,0,0.0
Dominican Republic,2007,0,0,0,0,0,0,0,0.0
Dominican Republic,2008,0,0,0,0,0,0,0,0.0
Dominican Republic,2009,0,0,0,0,0,0,0,0.0
Dominican Republic,2010,0,0,0,0,0,0,0,0.0
Dominican Republic,2011,0,0,0,0,0,0,0,0.0
Dominican Republic,2012,0,0,0,0,0,0,0,0.0
Dominican Republic,2013,0,0,0,0,0,0,0,0.0
Dominican Republic,2014,0,0,0,0,0,0,0,0.0
Dominican Republic,2015,0,0,0,0,0,0,0,0.0
Ecuador,1989,0,0,0,0,0,0,0,0.0
Ecuador,1990,0,0,0,0,0,0,0,0.0
Ecuador,1991,0,0,0,0,0,0,0,0.0
Ecuador,1992,0,0,0,0,0,0,0,0.0
Ecuador,1993,0,0,0,0,0,0,0,0.0
Ecuador,1994,0,0,0,0,0,0,0,0.0
Ecuador,1995,0,1,0,0,0,0,0,12.0
Ecuador,1996,0,1,0,0,0,0,0,12.0
Ecuador,1997,0,1,0,0,0,0,0,12.0
Ecuador,1998,0,1,0,0,0,0,0,12.0
Ecuador,1999,0,0,0,0,0,0,0,0.0
Ecuador,2000,0,1,0,0,0,0,0,12.0
Ecuador,2001,0,0,0,0,0,0,0,0.0
Ecuador,2002,0,1,0,0,0,0,0,12.0
Ecuador,2003,0,1,0,0,0,0,0,12.0
Ecuador,2004,0,1,0,0,0,0,0,12.0
Ecuador,2005,0,1,0,0,0,0,0,12.0
Ecuador,2006,0,1,0,0,0,0,0,12.0
Ecuador,2007,0,1,0,0,0,0,0,12.0
Ecuador,2008,0,1,0,0,0,0,0,12.0
Ecuador,2009,0,1,0,0,0,0,0,12.0
Ecuador,2010,0,0,0,0,0,0,0,0.0
Ecuador,2011,0,0,0,0,0,0,0,0.0
Ecuador,2012,0,0,0,0,0,0,0,0.0
Ecuador,2013,0,0,0,0,0,0,0,0.0
Ecuador,2014,0,0,0,0,0,0,0,0.0
Ecuador,2015,0,0,0,0,0,0,0,0.0
El Salvador,1989,0,1,0,0,0,0,0,12.0
El Salvador,1990,0,1,0,0,0,0,0,12.0
El Salvador,1991,0,1,0,0,0,0,0,12.0
El Salvador,1992,0,1,0,0,0,0,0,12.0
El Salvador,1993,0,1,0,0,0,0,0,12.0
El Salvador,1994,0,0,0,0,0,0,0,0.0
El Salvador,1995,0,0,0,0,0,0,0,0.0
El Salvador,1996,0,0,0,0,0,0,0,0.0
El Salvador,1997,0,0,0,0,0,0,0,0.0
El Salvador,1998,0,0,0,0,0,0,0,0.0
El Salvador,1999,0,0,0,0,0,0,0,0.0
El Salvador,2000,0,0,0,0,0,0,0,0.0
El Salvador,2001,0,0,0,0,0,0,0,0.0
El Salvador,2002,0,0,0,0,0,0,0,0.0
El Salvador,2003,0,0,0,0,0,0,0,0.0
El Salvador,2004,0,0,0,0,0,0,0,0.0
El Salvador,2005,0,0,0,0,0,0,0,0.0
El Salvador,2006,0,0,0,0,0,0,0,0.0
El Salvador,2007,0,0,0,0,0,0,0,0.0
El Salvador,2008,0,0,0,0,0,0,0,0.0
El Salvador,2009,0,0,0,0,0,0,0,0.0
El Salvador,2010,0,0,0,0,0,0,0,0.0
El Salvador,2011,0,0,0,0,0,0,0,0.0
El Salvador,2012,0,0,0,0,0,0,0,0.0
El Salvador,2013,0,0,0,0,0,0,0,0.0
El Salvador,2014,0,0,0,0,0,0,0,0.0
El Salvador,2015,0,0,0,0,0,0,0,0.0
Guatemala,1989,0,0,0,0,0,0,0,0.0
Guatemala,1990,0,1,0,0,0,0,0,12.0
Guatemala,1991,0,1,0,0,0,0,0,12.0
Guatemala,1992,0,1,0,0,0,0,0,12.0
Guatemala,1993,1,1,0,1,0,0,0,22.0
Guatemala,1994,0,1,0,0,0,0,0,12.0
Guatemala,1995,0,1,0,0,0,0,0,12.0
Guatemala,1996,0,1,0,0,0,0,0,12.0
Guatemala,1997,0,1,0,0,0,0,0,12.0
Guatemala,1998,0,1,0,0,0,0,0,12.0
Guatemala,1999,0,1,0,0,0,0,0,12.0
Guatemala,2000,0,1,0,0,0,0,0,12.0
Guatemala,2001,0,1,0,0,0,0,0,12.0
Guatemala,2002,0,1,0,0,0,0,0,12.0
Guatemala,2003,0,1,0,0,0,0,0,12.0
Guatemala,2004,0,1,0,0,0,0,0,12.0
Guatemala,2005,0,1,0,0,0,0,0,12.0
Guatemala,2006,0,0,0,0,0,0,0,0.0
Guatemala,2007,0,0,0,0,0,0,0,0.0
Guatemala,2008,0,0,0,0,0,0,0,0.0
Guatemala,2009,0,0,0,0,0,0,0,0.0
Guatemala,2010,0,0,0,0,0,0,0,0.0
Guatemala,2011,0,0,0,0,0,0,0,0.0
Guatemala,2012,0,0,0,0,0,0,0,0.0
Guatemala,2013,0,0,0,0,0,0,0,0.0
Guatemala,2014,0,0,0,0,0,0,0,0.0
Guatemala,2015,0,0,0,0,0,0,0,0.0
Guyana,1989,0,0,0,0,0,0,0,0.0
Guyana,1990,0,0,0,0,0,0,0,0.0
Guyana,1991,0,0,0,0,0,0,0,0.0
Guyana,1992,0,0,0,0,0,0,0,0.0
Guyana,1993,0,0,0,0,0,0,0,0.0
Guyana,1994,0,0,0,0,0,0,0,0.0
Guyana,1995,0,0,0,0,0,0,0,0.0
Guyana,1996,0,0,0,0,0,0,0,0.0
Guyana,1997,0,0,0,0,0,0,0,0.0
Guyana,1998,0,0,0,0,0,0,0,0.0
Guyana,1999,0,0,0,0,0,0,0,0.0
Guyana,2000,0,0,0,0,0,0,0,0.0
Guyana,2001,0,0,0,0,0,0,0,0.0
Guyana,2002,0,0,0,0,0,0,0,0.0
Guyana,2003,0,0,0,0,0,0,0,0.0
Guyana,2004,0,0,0,0,0,0,0,0.0
Guyana,2005,0,0,0,0,0,0,0,0.0
Guyana,2006,0,0,0,0,0,0,0,0.0
Guyana,2007,0,0,0,0,0,0,0,0.0
Guyana,2008,0,0,0,0,0,0,0,0.0
Guyana,2009,0,0,0,0,0,0,0,0.0
Guyana,2010,0,0,0,0,0,0,0,0.0
Guyana,2011,0,0,0,0,0,0,0,0.0
Guyana,2012,0,0,0,0,0,0,0,0.0
Guyana,2013,0,0,0,0,0,0,0,0.0
Guyana,2014,0,0,0,0,0,0,0,0.0
Guyana,2015,0,0,0,0,0,0,0,0.0
Haiti,1989,0,1,0,0,0,0,0,12.0
Haiti,1990,0,1,0,0,0,0,0,12.0
Haiti,1991,1,1,1,1,0,1,1,58.0
Haiti,1992,1,1,1,1,0,1,1,58.0
Haiti,1993,1,1,1,1,0,1,1,58.0
Haiti,1994,1,1,1,1,0,1,1,58.0
Haiti,1995,0,1,0,0,0,0,0,12.0
Haiti,1996,0,1,0,0,0,0,0,12.0
Haiti,1997,0,1,0,0,0,0,0,12.0
Haiti,1998,0,1,0,0,0,0,0,12.0
Haiti,1999,0,1,0,0,0,0,0,12.0
Haiti,2000,1,1,0,1,0,0,0,22.0
Haiti,2001,1,1,0,1,0,0,0,22.0
Haiti,2002,1,1,0,1,0,0,0,22.0
Haiti,2003,1,1,0,1,0,0,0,22.0
Haiti,2004,1,1,0,1,0,0,0,22.0
Haiti,2005,1,1,0,1,0,0,0,22.0
Haiti,2006,0,1,0,0,0,0,0,12.0
Haiti,2007,0,0,0,0,0,0,0,0.0
Haiti,2008,0,0,0,0,0,0,0,0.0
Haiti,2009,0,0,0,0,0,0,0,0.0
Haiti,2010,0,0,0,0,0,0,0,0.0
Haiti,2011,0,0,0,0,0,0,0,0.0
Haiti,2012,0,0,0,0,0,0,0,0.0
Haiti,2013,0,0,0,0,0,0,0,0.0
Haiti,2014,0,0,0,0,0,0,0,0.0
Haiti,2015,0,0,0,0,0,0,0,0.0
Honduras,1989,0,0,0,0,0,0,0,0.0
Honduras,1990,0,0,0,0,0,0,0,0.0
Honduras,1991,0,0,0,0,0,0,0,0.0
Honduras,1992,0,0,0,0,0,0,0,0.0
Honduras,1993,0,0,0,0,0,0,0,0.0
Honduras,1994,0,0,0,0,0,0,0,0.0
Honduras,1995,0,0,0,0,0,0,0,0.0
Honduras,1996,0,0,0,0,0,0,0,0.0
Honduras,1997,0,0,0,0,0,0,0,0.0
Honduras,1998,0,0,0,0,0,0,0,0.0
Honduras,1999,0,0,0,0,0,0,0,0.0
Honduras,2000,0,0,0,0,0,0,0,0.0
Honduras,2001,0,0,0,0,0,0,0,0.0
Honduras,2002,0,1,0,0,0,0,0,12.0
Honduras,2003,0,1,0,0,0,0,0,12.0
Honduras,2004,0,0,0,0,0,0,0,0.0
Honduras,2005,0,0,0,0,0,0,0,0.0
Honduras,2006,0,0,0,0,0,0,0,0.0
Honduras,2007,0,0,0,0,0,0,0,0.0
Honduras,2008,0,0,0,0,0,0,0,0.0
Honduras,2009,1,1,1,1,0,0,0,30.0
Honduras,2010,1,1,1,1,0,0,0,30.0
Honduras,2011,0,0,0,0,0,0,0,0.0
Honduras,2012,0,0,0,0,0,0,0,0.0
Honduras,2013,0,0,0,0,0,0,0,0.0
Honduras,2014,0,0,0,0,0,0,0,0.0
Honduras,2015,0,0,0,0,0,0,0,0.0
Jamaica,1989,0,0,0,0,0,0,0,0.0
Jamaica,1990,0,0,0,0,0,0,0,0.0
Jamaica,1991,0,0,0,0,0,0,0,0.0
Jamaica,1992,0,0,0,0,0,0,0,0.0
Jamaica,1993,0,0,0,0,0,0,0,0.0
Jamaica,1994,0,0,0,0,0,0,0,0.0
Jamaica,1995,0,0,0,0,0,0,0,0.0
Jamaica,1996,0,0,0,0,0,0,0,0.0
Jamaica,1997,0,0,0,0,0,0,0,0.0
Jamaica,1998,0,0,0,0,0,0,0,0.0
Jamaica,1999,0,0,0,0,0,0,0,0.0
Jamaica,2000,0,0,0,0,0,0,0,0.0
Jamaica,2001,0,0,0,0,0,0,0,0.0
Jamaica,2002,0,0,0,0,0,0,0,0.0
Jamaica,2003,0,0,0,0,0,0,0,0.0
Jamaica,2004,0,0,0,0,0,0,0,0.0
Jamaica,2005,0,0,0,0,0,0,0,0.0
Jamaica,2006,0,0,0,0,0,0,0,0.0
Jamaica,2007,0,0,0,0,0,0,0,0.0
Jamaica,2008,0,0,0,0,0,0,0,0.0
Jamaica,2009,0,0,0,0,0,0,0,0.0
Jamaica,2010,0,0,0,0,0,0,0,0.0
Jamaica,2011,0,0,0,0,0,0,0,0.0
Jamaica,2012,0,0,0,0,0,0,0,0.0
Jamaica,2013,0,0,0,0,0,0,0,0.0
Jamaica,2014,0,0,0,0,0,0,0,0.0
Jamaica,2015,0,0,0,0,0,0,0,0.0
Mexico,1989,0,0,0,0,0,0,0,0.0
Mexico,1990,0,0,0,0,0,0,0,0.0
Mexico,1991,0,0,0,0,0,0,0,0.0
Mexico,1992,0,0,0,0,0,0,0,0.0
Mexico,1993,0,0,0,0,0,0,0,0.0
Mexico,1994,0,0,0,0,0,0,0,0.0
Mexico,1995,0,0,0,0,0,0,0,0.0
Mexico,1996,0,0,0,0,0,0,0,0.0
Mexico,1997,0,0,0,0,0,0,0,0.0
Mexico,1998,0,0,0,0,0,0,0,0.0
Mexico,1999,0,0,0,0,0,0,0,0.0
Mexico,2000,0,0,0,0,0,0,0,0.0
Mexico,2001,0,0,0,0,0,0,0,0.0
Mexico,2002,0,0,0,0,0,0,0,0.0
Mexico,2003,0,0,0,0,0,0,0,0.0
Mexico,2004,0,0,0,0,0,0,0,0.0
Mexico,2005,0,1,0,0,0,0,0,12.0
Mexico,2006,0,1,0,0,0,0,0,12.0
Mexico,2007,0,1,0,0,0,0,0,12.0
Mexico,2008,0,1,0,0,0,0,0,12.0
Mexico,2009,0,1,0,0,0,0,0,12.0
Mexico,2010,0,0,0,0,0,0,0,0.0
Mexico,2011,0,0,0,0,0,0,0,0.0
Mexico,2012,0,0,0,0,0,0,0,0.0
Mexico,2013,0,0,0,0,0,0,0,0.0
Mexico,2014,0,0,0,0,0,0,0,0.0
Mexico,2015,0,0,0,0,0,0,0,0.0
Nicaragua,1989,0,0,0,0,0,0,0,0.0
Nicaragua,1990,0,0,0,0,0,0,0,0.0
Nicaragua,1991,0,0,0,0,0,0,0,0.0
Nicaragua,1992,0,1,0,0,0,0,0,12.0
Nicaragua,1993,0,1,0,0,0,0,0,12.0
Nicaragua,1994,0,1,0,0,0,0,0,12.0
Nicaragua,1995,0,1,0,0,0,0,0,12.0
Nicaragua,1996,0,0,0,0,0,0,0,0.0
Nicaragua,1997,0,0,0,0,0,0,0,0.0
Nicaragua,1998,0,0,0,0,0,0,0,0.0
Nicaragua,1999,0,0,0,0,0,0,0,0.0
Nicaragua,2000,0,0,0,0,0,0,0,0.0
Nicaragua,2001,0,0,0,0,0,0,0,0.0
Nicaragua,2002,0,0,0,0,0,0,0,0.0
Nicaragua,2003,0,0,0,0,0,0,0,0.0
Nicaragua,2004,0,0,0,0,0,0,0,0.0
Nicaragua,2005,0,0,0,0,0,0,0,0.0
Nicaragua,2006,0,0,0,0,0,0,0,0.0
Nicaragua,2007,0,0,0,0,0,0,0,0.0
Nicaragua,2008,0,0,0,0,0,0,0,0.0
Nicaragua,2009,0,0,0,0,0,0,0,0.0
Nicaragua,2010,0,0,0,0,0,0,0,0.0
Nicaragua,2011,0,0,0,0,0,0,0,0.0
Nicaragua,2012,0,0,0,0,0,0,0,0.0
Nicaragua,2013,0,0,0,0,0,0,0,0.0
Nicaragua,2014,0,0,0,0,0,0,0,0.0
Nicaragua,2015,0,0,0,0,0,0,0,0.0
Panama,1989,0,1,0,0,0,0,0,12.0
Panama,1990,0,1,0,0,0,0,0,12.0
Panama,1991,0,0,0,0,0,0,0,0.0
Panama,1992,0,0,0,0,0,0,0,0.0
Panama,1993,0,0,0,0,0,0,0,0.0
Panama,1994,0,1,0,0,0,0,0,12.0
Panama,1995,0,1,0,0,0,0,0,12.0
Panama,1996,0,0,0,0,0,0,0,0.0
Panama,1997,0,0,0,0,0,0,0,0.0
Panama,1998,0,0,0,0,0,0,0,0.0
Panama,1999,0,0,0,0,0,0,0,0.0
Panama,2000,0,0,0,0,0,0,0,0.0
Panama,2001,0,0,0,0,0,0,0,0.0
Panama,2002,0,1,0,0,0,0,0,12.0
Panama,2003,0,1,0,0,0,0,0,12.0
Panama,2004,0,0,0,0,0,0,0,0.0
Panama,2005,0,0,0,0,0,0,0,0.0
Panama,2006,0,0,0,0,0,0,0,0.0
Panama,2007,0,0,0,0,0,0,0,0.0
Panama,2008,0,0,0,0,0,0,0,0.0
Panama,2009,0,0,0,0,0,0,0,0.0
Panama,2010,0,0,0,0,0,0,0,0.0
Panama,2011,0,0,0,0,0,0,0,0.0
Panama,2012,0,0,0,0,0,0,0,0.0
Panama,2013,0,0,0,0,0,0,0,0.0
Panama,2014,0,0,0,0,0,0,0,0.0
Panama,2015,0,0,0,0,0,0,0,0.0
Paraguay,1989,0,0,0,0,0,0,0,0.0
Paraguay,1990,0,0,0,0,0,0,0,0.0
Paraguay,1991,0,0,0,0,0,0,0,0.0
Paraguay,1992,0,0,0,0,0,0,0,0.0
Paraguay,1993,0,0,0,0,0,0,0,0.0
Paraguay,1994,0,0,0,0,0,0,0,0.0
Paraguay,1995,0,1,0,0,0,0,0,12.0
Paraguay,1996,0,1,0,0,0,0,0,12.0
Paraguay,1997,0,1,0,0,0,0,0,12.0
